days,RKI Nowcast 4 days,RKI Nowcast 7 days,Projected 7 days
2020-03-08,2.4700162074554295,NaN,NaN
2020-03-09,3.0124137931034483,NaN,NaN
2020-03-10,3.2391067538126364,3.113243158225857,NaN
2020-03-11,3.3752122241086586,3.1130027140389833,2.9588404165952005
2020-03-12,3.2854330708661417,2.8672822741263806,2.9306439076845905
2020-03-13,2.781364468864469,2.5269909139497595,2.809156395770501
2020-03-14,2.317807297797209,2.20814388198444,2.5104789064591895
2020-03-15,1.8869466800804828,2.026947768883253,2.241975303726467
2020-03-16,1.7300778909526662,1.783594342005557,2.0924662041249547
2020-03-17,1.510906247427772,1.6160109983079525,1.7822018924727892
2020-03-18,1.4220835751596053,1.4636222201885238,1.592764703083572
2020-03-19,1.3426191269576808,1.3013607570188472,1.4137044601778275
2020-03-20,1.146089466089466,1.19012214551248,1.2862750931365672
2020-03-21,1.0434735236434953,1.0793796217525031,1.1647566891895285
2020-03-22,0.8892459953066014,1.0151003564059276,1.0475384489603772
2020-03-23,0.8839471855455178,0.9486193323517922,0.9960778820599104
2020-03-24,0.8383360193392425,0.9219991075412762,0.9318109895196417
2020-03-25,0.8864989036232641,0.9298229659270039,0.9228889302638409
2020-03-26,1.0229476220526648,0.9220487233977025,0.9401357996371343
2020-03-27,0.972877358490566,0.9393747426435652,0.9215933235907949
2020-03-28,1.0356842484681004,0.9448262510889557,0.9476161507040332
2020-03-29,0.9258539458186101,0.9347634727610602,0.9441532744684241
2020-03-30,0.8864898210980876,0.9560090854432494,0.9302124394067243
2020-03-31,0.8847907647907648,0.9613919142192401,0.963123277047435
2020-04-01,0.9185034802784223,0.9727145442748352,0.9667003335212077
2020-04-02,1.0833916417530691,0.9916294642857143,0.9800357807660013
2020-04-03,1.0808502562156006,0.9694280423465288,0.9923573335163568
2020-04-04,1.067584317307065,0.958824354657688,0.9547026088588235
2020-04-05,0.9186611935585728,0.9296798202499649,0.9525911902278529
2020-04-06,0.8104744011272899,0.913231570061902,0.9131007820249636
2020-04-07,0.752824114720515,0.8994810062711742,0.9078432900104197
2020-04-08,0.7971891231286282,0.878337844758212,0.8835516932071414
2020-04-09,0.9421873925895373,0.8374683735508478,0.8782676759079044
2020-04-10,0.9258910460736018,0.8186019641825535,0.8191615584435541
2020-04-11,0.9061576737676877,0.8222542773570541,0.8305065381871919
2020-04-12,0.7750268281465583,0.7831500916208562,0.8234364065825829
2020-04-13,0.6272435429738801,0.7848672047616899,0.7432545819197615
2020-04-14,0.6330490571942727,0.7612796988943777,0.7544503188587264
2020-04-15,0.683998283998284,0.7326641001900492,0.750616051320534
2020-04-16,0.8129759667688656,0.7792076575378888,0.7523710808446465
2020-04-17,1.0037222286844247,0.8020797426174883,0.8328528999050229
2020-04-18,1.014707699913484,0.8257215252456586,0.8271020088987012
2020-04-19,0.9145760160561967,0.8778184236780845,0.8332194641612095
2020-04-20,0.8223844282238443,0.8633044427762233,0.889542751808314
2020-04-21,0.7055278711322285,0.8699949860325192,0.8457100546099772
2020-04-22,0.7499390986601705,0.8661028366140259,0.8577571191505742
2020-04-23,0.8820463585242079,0.8217154114259736,0.8585997330428672
2020-04-24,0.9284023668639053,0.8165217391304348,0.8223546827948366
2020-04-25,0.9673127463863338,0.8081672978758438,0.8301573853684034
2020-04-26,0.8057495533539061,0.8092810231593502,0.8040842774198101
2020-04-27,0.7079769864717773,0.8232365145228215,0.8023394430247682
2020-04-28,0.6645952836201402,0.8031755252202536,0.806786163998948
2020-04-29,0.7002886737986076,0.8001222493887531,0.7803434983649221
2020-04-30,0.9008264462809917,0.7747997864388682,0.8148868994133575
